		skill_uuid	onet_soc_code	onet_element_id	skill_name	count
0	0	0	11-1011.00	2.a.1.a	reading comprehension	1364
1	1	1	11-1011.00	2.a.1.b	active listening	29674
2	2	2	11-1011.00	2.a.1.c	writing	92960
3	3	3	11-1011.00	2.a.1.d	speaking	81988
4	4	4	11-1011.00	2.a.1.e	mathematics	8221
5	5	5	11-1011.00	2.a.1.f	science	204025
6	6	6	11-1011.00	2.a.2.a	critical thinking	10184
7	7	7	11-1011.00	2.a.2.b	active learning	96
8	8	8	11-1011.00	2.a.2.c	learning strategies	44
9	9	9	11-1011.00	2.a.2.d	monitoring	27478
10	10	10	11-1011.00	2.b.1.a	social perceptiveness	727
11	11	11	11-1011.00	2.b.1.b	coordination	21156
12	12	12	11-1011.00	2.b.1.c	persuasion	4864
13	13	13	11-1011.00	2.b.1.d	negotiation	97810
14	14	14	11-1011.00	2.b.1.e	instructing	835
15	15	15	11-1011.00	2.b.1.f	service orientation	12662
16	16	16	11-1011.00	2.b.2.i	complex problem solving	377
17	17	17	11-1011.00	2.b.3.a	operations analysis	153
18	18	18	11-1011.00	2.b.3.b	technology design	200
19	19	19	11-1011.00	2.b.3.e	programming	46835
20	20	20	11-1011.00	2.b.3.g	operation monitoring	65
21	22	22	11-1011.00	2.b.3.m	quality control analysis	70
22	24	24	11-1011.00	2.b.4.g	systems analysis	1186
23	25	25	11-1011.00	2.b.4.h	systems evaluation	60
24	26	26	11-1011.00	2.b.5.a	time management	152689
25	82	82	11-1021.00	2.b.3.k	troubleshooting	35602
26	255	255	11-3021.00	2.b.3.c	equipment selection	144
27	259	259	11-3021.00	2.b.3.j	equipment maintenance	9513
28	261	261	11-3021.00	2.b.3.l	repairing	3735
29	2403	2403	13-1199.02	2.b.3.d	installation	58497
30	29270	29270	11-1011.00	1.a.1.a.1	oral comprehension	87
31	29271	29271	11-1011.00	1.a.1.a.2	written comprehension	219
32	29272	29272	11-1011.00	1.a.1.a.3	oral expression	103
33	29273	29273	11-1011.00	1.a.1.a.4	written expression	52
34	29275	29275	11-1011.00	1.a.1.b.2	originality	192
