onet_soc_code	occupation_title	description	alternate_title
11-1011.00	Chief Executives	Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.	n/a
11-1011.00	n/a	n/a	Aeronautics Commission Director
11-1011.00	n/a	n/a	Agricultural Services Director
11-1011.00	n/a	n/a	Alcohol and Drug Abuse Assistance Program Administrator
11-1011.00	n/a	n/a	Arts and Humanities Council Director
11-1011.00	n/a	n/a	Bakery Manager
11-1011.00	n/a	n/a	Bank President
11-1011.00	n/a	n/a	Book Publisher
11-1011.00	n/a	n/a	Brokerage Office Manager
11-1011.00	n/a	n/a	Bureau Chief
11-1011.00	n/a	n/a	Business Development Executive
11-1011.00	n/a	n/a	Business Development Officer
11-1011.00	n/a	n/a	Business Enterprise Officer
11-1011.00	n/a	n/a	Business Executive
11-1011.00	n/a	n/a	Cemetery Manager
11-1011.00	n/a	n/a	Chairman
11-1011.00	n/a	n/a	Chancellor
11-1011.00	n/a	n/a	Chief Administrative Officer
11-1011.00	n/a	n/a	Chief Diversity Officer (CDO)
11-1011.00	n/a	n/a	Chief Executive Officer (CEO)
11-1011.00	n/a	n/a	Chief Financial Officer (CFO)
11-1011.00	n/a	n/a	Chief Innovation Officer
11-1011.00	n/a	n/a	Chief Nursing Officer
11-1011.00	n/a	n/a	Chief Operating Officer (COO)
11-1011.00	n/a	n/a	Chief Warden
11-1011.00	n/a	n/a	City Administrator
11-1011.00	n/a	n/a	City Manager
11-1011.00	n/a	n/a	City Superintendent
11-1011.00	n/a	n/a	City Superintendent of Schools
11-1011.00	n/a	n/a	City Supervisor
11-1011.00	n/a	n/a	Classification and Treatment Director
11-1011.00	n/a	n/a	College President
11-1011.00	n/a	n/a	Commissioner of Internal Revenue
11-1011.00	n/a	n/a	Community Services and Health Education Officer
11-1011.00	n/a	n/a	Compliance Director
11-1011.00	n/a	n/a	Conservation of Resources Commissioner
11-1011.00	n/a	n/a	Consumer Affairs Director
11-1011.00	n/a	n/a	Corporate Administrator
11-1011.00	n/a	n/a	Corporate Executive
11-1011.00	n/a	n/a	Corporate Manager
11-1011.00	n/a	n/a	Corporate Officer
11-1011.00	n/a	n/a	Corporate Planner
11-1011.00	n/a	n/a	Corporation Officer
11-1011.00	n/a	n/a	Correctional Agency Director
11-1011.00	n/a	n/a	Council On Aging Director
11-1011.00	n/a	n/a	County Administrator
11-1011.00	n/a	n/a	County Commissioner
11-1011.00	n/a	n/a	County Superintendent of Schools
11-1011.00	n/a	n/a	County Supervisor
11-1011.00	n/a	n/a	Department Manager
11-1011.00	n/a	n/a	Department Store Manager
11-1011.00	n/a	n/a	Deputy District Customs Director
11-1011.00	n/a	n/a	Deputy Insurance Commissioner
11-1011.00	n/a	n/a	Director of Vital Statistics
11-1011.00	n/a	n/a	District Customs Director
11-1011.00	n/a	n/a	Economic Development Coordinator
11-1011.00	n/a	n/a	Educational Institution President
11-1011.00	n/a	n/a	Election Assistant
11-1011.00	n/a	n/a	Employment Research and Planning Director
11-1011.00	n/a	n/a	Employment Services Director
11-1011.00	n/a	n/a	Environmental Analyst
11-1011.00	n/a	n/a	Executive Administrator
11-1011.00	n/a	n/a	Executive Director
11-1011.00	n/a	n/a	Executive Vice President (EVP)
11-1011.00	n/a	n/a	Federal Aid Coordinator
11-1011.00	n/a	n/a	Field Representatives Director
11-1011.00	n/a	n/a	Financial Institution President
11-1011.00	n/a	n/a	Financial Responsibility Division Director
11-1011.00	n/a	n/a	Financial Secretary
11-1011.00	n/a	n/a	Fire Chief
11-1011.00	n/a	n/a	Fishery Division Chief
11-1011.00	n/a	n/a	Foreign Diplomat
11-1011.00	n/a	n/a	Foreign Service Officer
11-1011.00	n/a	n/a	Foundation Director
11-1011.00	n/a	n/a	Government Service Executive
11-1011.00	n/a	n/a	Governor
11-1011.00	n/a	n/a	Harbor Master
11-1011.00	n/a	n/a	Health Commissioner
11-1011.00	n/a	n/a	Highway Commissioner
11-1011.00	n/a	n/a	Housing Management Officer
11-1011.00	n/a	n/a	Institution Director
11-1011.00	n/a	n/a	Insurance Commissioner
11-1011.00	n/a	n/a	International Accounting User Representative
11-1011.00	n/a	n/a	Irrigation Tax Assessor-Collector
11-1011.00	n/a	n/a	Labor Commissioner
11-1011.00	n/a	n/a	Labor Standards Director
11-1011.00	n/a	n/a	Law Enforcement Director
11-1011.00	n/a	n/a	Licensing and Registration Director
11-1011.00	n/a	n/a	Lieutenant Governor
11-1011.00	n/a	n/a	Liquor Commissioner
11-1011.00	n/a	n/a	Liquor Stores and Agencies Supervisor
11-1011.00	n/a	n/a	Mayor
11-1011.00	n/a	n/a	Media Executive
11-1011.00	n/a	n/a	Medical Facilities Section Director
11-1011.00	n/a	n/a	Music Executive
11-1011.00	n/a	n/a	Music Publisher
11-1011.00	n/a	n/a	Newspaper Publisher
11-1011.00	n/a	n/a	Nonprofit Director
11-1011.00	n/a	n/a	Nonprofit Manager
11-1011.00	n/a	n/a	Operations Vice President
11-1011.00	n/a	n/a	Park Superintendent
11-1011.00	n/a	n/a	Police Commissioner
11-1011.00	n/a	n/a	Policy Advisor
11-1011.00	n/a	n/a	Policy Officer
11-1011.00	n/a	n/a	President
11-1011.00	n/a	n/a	President of the United States
11-1011.00	n/a	n/a	Private Sector Executive
11-1011.00	n/a	n/a	Program Administrator
11-1011.00	n/a	n/a	Program Manager
11-1011.00	n/a	n/a	Public Health Director
11-1011.00	n/a	n/a	Public Works Commissioner
11-1011.00	n/a	n/a	Public Works Director
11-1011.00	n/a	n/a	Railroad Commissioner
11-1011.00	n/a	n/a	Recreation Superintendent
11-1011.00	n/a	n/a	Regional Wildlife Agent
11-1011.00	n/a	n/a	Regulated Program Manager
11-1011.00	n/a	n/a	Regulatory Agency Director
11-1011.00	n/a	n/a	Regulatory Analyst
11-1011.00	n/a	n/a	Relocation Commissioner
11-1011.00	n/a	n/a	Revenue Director
11-1011.00	n/a	n/a	Road Commissioner
11-1011.00	n/a	n/a	Roads Supervisor
11-1011.00	n/a	n/a	Safety Council Director
11-1011.00	n/a	n/a	Sanitation Superintendent
11-1011.00	n/a	n/a	School Commissioner
11-1011.00	n/a	n/a	Secretary of State
11-1011.00	n/a	n/a	Software Publisher
11-1011.00	n/a	n/a	State Assessed Properties Director
11-1011.00	n/a	n/a	State Board of Nursing Executive Secretary
11-1011.00	n/a	n/a	State Superintendent of Public Instruction
11-1011.00	n/a	n/a	State Superintendent of Schools
11-1011.00	n/a	n/a	Store Manager
11-1011.00	n/a	n/a	Strategic Planner
11-1011.00	n/a	n/a	Supervisor
11-1011.00	n/a	n/a	Tax Commissioner
11-1011.00	n/a	n/a	Top Executive
11-1011.00	n/a	n/a	Township Supervisor
11-1011.00	n/a	n/a	Traffic Safety Administrator
11-1011.00	n/a	n/a	Translation Director
11-1011.00	n/a	n/a	Treasurer
11-1011.00	n/a	n/a	U.S. Commissioner
11-1011.00	n/a	n/a	Unemployment Insurance Director
11-1011.00	n/a	n/a	University President
11-1011.00	n/a	n/a	Vice Chancellor
11-1011.00	n/a	n/a	Vice President
11-1011.00	n/a	n/a	Water Commissioner
11-1011.00	n/a	n/a	Welfare Director
11-1011.00	n/a	n/a	Chief Diversity Officer (CDO)
11-1011.00	n/a	n/a	Chief Executive Officer (CEO)
11-1011.00	n/a	n/a	Chief Financial Officer (CFO)
11-1011.00	n/a	n/a	Chief Nursing Officer
11-1011.00	n/a	n/a	Chief Operating Officer (COO)
